"UC Gill Tract Weather Station"
"12/18/23 12:00 AM : 6 Month"
"","","","","","","","","","","","","","","","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower"
"12/18/23 10:00 PM","57","57","57","87","87","86","53","55","57","57","29.79","29.80","29.79","29.74","60","60","60","88","88","88","57","57","57","58","58","58","1","E","ENE","0.3","8","ESE","60","60","60","0.00","61","60","61","60","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.050","0.000"
"12/18/23 10:15 PM","57","57","57","87","87","87","53","55","57","57","29.80","29.80","29.79","29.75","60","60","60","89","89","88","57","57","57","58","58","58","1","SE","SSE","0.2","2","SSW","60","60","60","--","60","60","60","60","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.051","0.000"
"12/18/23 10:30 PM","57","57","57","88","88","87","53","55","57","57","29.80","29.80","29.79","29.75","60","60","60","90","90","89","57","57","57","58","58","58","2","S","S","0.4","7","S","60","60","60","--","61","60","61","60","58","58","58","0.01","0.01","0","0","0.00","0","0","0.0","0.051","0.000"
"12/18/23 10:45 PM","57","57","57","88","88","88","53","55","57","57","29.80","29.80","29.80","29.75","60","60","60","91","91","90","57","57","57","58","58","58","2","S","SSE","0.6","12","E","60","60","60","--","60","60","60","60","58","58","58","0.00","0.01","0","0","0.00","0","0","0.0","0.054","0.000"
"12/18/23 11:00 PM","57","57","57","88","88","88","53","55","57","57","29.80","29.80","29.80","29.75","60","60","60","91","91","91","57","57","57","58","58","58","1","SE","SE","0.2","6","SSE","60","60","60","0.00","60","60","60","60","57","58","57","0.00","0.01","0","0","0.00","0","0","0.0","0.055","0.000"
"12/18/23 11:15 PM","57","57","57","88","88","88","53","55","57","57","29.80","29.80","29.80","29.75","60","60","60","91","92","91","57","57","57","58","58","58","1","ENE","E","0.1","4","NNW","60","60","60","--","60","60","60","60","57","58","57","0.00","0.00","0","0","0.00","0","0","0.0","0.056","0.000"
"12/18/23 11:30 PM","57","57","57","88","88","88","53","55","57","57","29.80","29.80","29.79","29.75","60","60","60","92","92","91","57","57","57","58","58","58","0","SE","SE","0.1","5","WSW","60","60","60","--","60","60","60","60","57","57","57","0.01","0.01","0","0","0.00","0","0","0.0","0.057","0.000"
"12/18/23 11:45 PM","57","57","57","88","88","88","53","55","57","57","29.80","29.80","29.80","29.75","60","60","59","91","92","91","57","57","57","58","58","58","2","S","S","0.4","10","S","60","59","60","--","60","60","60","60","57","57","57","0.00","0.01","0","0","0.00","0","0","0.0","0.057","0.000"
"12/19/23 12:00 AM","57","57","57","88","88","88","53","55","57","57","29.80","29.80","29.80","29.75","60","60","59","91","91","91","57","57","57","58","58","58","2","SSE","SSE","0.4","8","SSE","59","59","60","0.00","60","60","60","60","57","58","57","0.01","0.01","0","0","0.00","0","0","0.0","0.057","0.000"
"12/19/23 12:15 AM","57","57","57","88","88","88","53","55","57","57","29.79","29.80","29.79","29.74","59","59","59","92","92","91","57","57","57","58","58","58","0","S","S","0.1","4","SSE","59","59","60","--","60","60","60","59","57","57","57","0.01","0.01","0","0","0.00","0","0","0.0","0.060","0.000"
"12/19/23 12:30 AM","57","57","57","88","88","88","53","55","57","57","29.79","29.80","29.78","29.74","59","59","59","92","92","92","57","57","57","58","58","58","0","SE","SSE","0.1","2","SE","59","59","60","--","60","60","60","59","57","57","57","0.08","0.76","0","0","0.00","0","0","0.0","0.060","0.000"
"12/19/23 12:45 AM","57","57","57","89","89","88","54","55","57","57","29.80","29.80","29.79","29.75","59","59","59","93","93","93","57","57","57","58","58","58","1","S","S","0.3","6","SSW","59","59","60","--","60","60","60","60","57","57","57","0.03","0.47","0","0","0.00","0","0","0.0","0.061","0.000"
"12/19/23 1:00 AM","57","57","57","89","89","88","54","55","57","57","29.79","29.80","29.79","29.74","59","59","59","93","93","93","57","57","57","58","58","58","2","S","S","0.4","9","S","59","59","60","0.00","60","60","60","60","57","57","57","0.04","0.43","0","0","0.00","0","0","0.0","0.061","0.000"
"12/19/23 1:15 AM","57","57","57","89","89","89","54","55","57","57","29.79","29.80","29.79","29.74","59","59","59","94","94","93","57","57","57","58","58","58","2","S","S","0.5","7","S","59","59","60","--","60","60","60","60","57","57","57","0.12","1.62","0","0","0.00","0","0","0.0","0.061","0.000"
"12/19/23 1:30 AM","57","57","57","89","89","89","54","55","57","57","29.79","29.80","29.79","29.74","59","59","59","94","94","94","57","57","57","58","58","58","1","S","S","0.4","6","S","59","59","60","--","60","60","60","59","57","57","57","0.11","1.07","0","0","0.00","0","0","0.0","0.062","0.000"
"12/19/23 1:45 AM","57","57","57","89","89","89","54","55","57","57","29.79","29.79","29.79","29.74","59","59","59","93","94","93","57","57","57","58","58","58","2","S","S","0.4","6","ESE","59","59","60","--","60","60","60","60","57","57","57","0.02","0.20","0","0","0.00","0","0","0.0","0.061","0.000"
"12/19/23 2:00 AM","57","57","57","89","89","89","54","55","57","57","29.80","29.80","29.79","29.75","59","60","59","92","93","92","57","57","57","58","58","58","2","S","SSE","0.4","13","S","59","59","60","0.00","60","60","60","60","57","57","57","0.00","0.07","0","0","0.00","0","0","0.0","0.059","0.000"
"12/19/23 2:15 AM","57","57","57","89","89","89","54","55","57","57","29.80","29.80","29.79","29.75","59","60","59","91","92","91","57","57","57","58","58","58","1","S","S","0.2","7","S","60","59","60","--","60","60","60","60","57","57","57","0.01","0.01","0","0","0.00","0","0","0.0","0.058","0.000"
"12/19/23 2:30 AM","57","57","57","89","89","89","54","55","57","57","29.80","29.80","29.80","29.75","60","60","60","90","91","90","57","57","57","58","58","58","2","S","S","0.4","6","SSW","60","60","60","--","60","60","60","60","58","58","57","0.00","0.01","0","0","0.00","0","0","0.0","0.055","0.000"
"12/19/23 2:45 AM","57","57","57","89","89","89","54","55","57","57","29.80","29.80","29.80","29.75","60","60","60","90","90","90","57","57","57","58","58","58","2","SSE","SSE","0.5","10","ESE","60","60","60","--","60","60","60","60","58","58","58","0.00","0.01","0","0","0.00","0","0","0.0","0.052","0.000"
"12/19/23 3:00 AM","57","57","57","89","89","89","54","55","57","57","29.80","29.80","29.80","29.75","60","60","60","90","90","90","57","57","57","58","58","58","1","SW","SSW","0.4","6","SW","60","60","60","0.00","60","60","60","60","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.053","0.000"
"12/19/23 3:15 AM","57","57","57","90","90","89","54","55","57","57","29.80","29.80","29.80","29.75","60","60","59","93","93","91","57","57","57","58","58","58","2","SSE","SSE","0.5","8","SSE","59","59","60","--","60","60","60","59","57","58","57","0.03","0.17","0","0","0.00","0","0","0.0","0.057","0.000"
"12/19/23 3:30 AM","57","57","57","89","90","89","54","55","57","57","29.80","29.80","29.80","29.75","59","59","59","94","94","93","57","57","57","58","58","58","1","SSE","S","0.3","5","S","59","59","59","--","60","59","60","59","56","57","56","0.01","0.10","0","0","0.00","0","0","0.0","0.064","0.000"
"12/19/23 3:45 AM","57","57","57","89","89","89","54","55","57","57","29.80","29.80","29.79","29.75","58","59","58","94","94","94","57","57","57","57","58","57","1","S","S","0.3","4","S","58","58","59","--","59","59","59","59","56","56","56","0.01","0.10","0","0","0.00","0","0","0.0","0.068","0.000"
"12/19/23 4:00 AM","57","57","57","89","89","89","54","55","57","57","29.79","29.80","29.79","29.74","58","58","58","94","94","94","57","57","57","58","58","57","1","S","S","0.2","4","S","58","58","59","0.00","59","59","59","59","56","56","56","0.01","0.06","0","0","0.00","0","0","0.0","0.068","0.000"
"12/19/23 4:15 AM","57","57","57","89","89","89","54","55","57","57","29.79","29.80","29.79","29.74","59","59","58","94","94","94","57","57","57","58","58","58","1","SSW","S","0.1","4","SSE","59","58","59","--","59","59","59","59","56","56","56","0.05","0.67","0","0","0.00","0","0","0.0","0.067","0.000"
"12/19/23 4:30 AM","57","57","57","90","90","89","54","55","57","57","29.79","29.79","29.79","29.74","59","59","59","94","94","94","57","57","57","58","58","58","0","S","S","0.1","2","SSE","59","59","59","--","59","59","59","59","56","56","56","0.00","0.08","0","0","0.00","0","0","0.0","0.066","0.000"
"12/19/23 4:45 AM","57","57","57","90","90","90","54","55","57","57","29.79","29.79","29.79","29.74","59","59","59","94","94","94","57","57","57","58","58","58","1","SSE","SSE","0.2","5","S","59","59","59","--","59","59","59","59","56","56","56","0.00","0.00","0","0","0.00","0","0","0.0","0.066","0.000"
"12/19/23 5:00 AM","57","57","57","90","90","90","54","55","57","57","29.79","29.79","29.79","29.74","59","59","59","94","94","94","57","57","57","58","58","58","1","SSE","SSE","0.2","5","SSE","59","59","59","0.00","59","59","59","59","56","56","56","0.00","0.00","0","0","0.00","0","0","0.0","0.066","0.000"
"12/19/23 5:15 AM","57","57","57","90","90","90","54","55","57","57","29.79","29.79","29.79","29.74","58","59","58","94","94","94","57","57","57","57","58","57","0","SW","SSW","0.1","4","SW","58","58","59","--","59","59","59","59","56","56","56","0.02","0.51","0","0","0.00","0","0","0.0","0.068","0.000"
"12/19/23 5:30 AM","57","57","57","90","90","90","54","55","57","57","29.79","29.79","29.79","29.74","58","58","58","94","94","94","56","57","56","57","57","57","1","SW","SW","0.4","4","SW","58","58","58","--","59","58","59","58","56","56","56","0.00","0.10","0","0","0.00","0","0","0.0","0.071","0.000"
"12/19/23 5:45 AM","57","57","57","90","90","89","54","55","57","57","29.79","29.79","29.79","29.74","58","58","58","95","95","94","56","56","56","57","57","57","0","SSE","S","0.1","3","SE","58","58","58","--","58","58","58","58","56","56","55","0.00","0.00","0","0","0.00","0","0","0.0","0.074","0.000"
"12/19/23 6:00 AM","57","57","57","91","91","90","54","55","57","57","29.80","29.80","29.79","29.75","58","58","58","95","95","95","57","57","56","57","57","57","1","SSE","SSE","0.2","4","SE","58","58","58","0.00","58","58","58","58","56","56","56","0.00","0.00","0","0","0.00","0","0","0.0","0.073","0.000"
"12/19/23 6:15 AM","57","57","57","91","91","90","54","55","57","57","29.80","29.80","29.80","29.75","58","58","58","95","95","95","57","57","57","57","58","57","0","SSE","SSE","0.1","5","S","58","58","59","--","59","59","59","58","56","56","56","0.00","0.00","0","0","0.00","0","0","0.0","0.071","0.000"
"12/19/23 6:30 AM","57","57","57","91","91","90","54","55","57","57","29.80","29.80","29.80","29.75","58","58","58","95","95","95","57","57","57","58","58","57","1","SSE","SSE","0.2","5","SE","58","58","59","--","59","59","59","59","56","56","56","0.00","0.00","0","0","0.00","0","0","0.0","0.068","0.000"
"12/19/23 6:45 AM","57","57","56","91","91","90","54","55","57","57","29.80","29.81","29.80","29.75","58","58","58","95","95","94","57","57","57","57","58","57","0","SSE","SSE","0.1","4","SSE","58","58","59","--","59","59","59","59","56","56","56","0.00","0.00","0","0","0.00","0","0","0.0","0.069","0.000"
"12/19/23 7:00 AM","57","57","57","91","91","90","54","55","57","57","29.80","29.80","29.80","29.75","58","58","58","95","95","95","56","57","56","57","57","57","0","SSW","S","0.1","2","SSW","58","58","58","0.00","59","58","59","58","56","56","56","0.01","0.01","0","0","0.00","0","0","0.0","0.072","0.000"
"12/19/23 7:15 AM","56","57","56","90","91","90","54","55","57","57","29.80","29.80","29.80","29.75","58","58","58","95","95","95","57","57","56","57","57","57","0","SE","SSE","0.1","2","S","58","58","58","--","58","58","58","58","56","56","56","0.00","0.01","0","0","0.00","0","0","0.0","0.073","0.000"
"12/19/23 7:30 AM","57","57","56","90","90","90","54","55","57","57","29.80","29.80","29.80","29.75","58","58","58","95","95","95","56","57","56","57","57","57","0","SSE","SSE","0.0","2","SSE","58","58","58","--","58","58","58","58","56","56","56","0.00","0.00","0","0","0.00","0","0","0.0","0.073","0.000"
"12/19/23 7:45 AM","57","57","56","90","91","90","54","55","57","57","29.80","29.80","29.80","29.75","58","58","58","95","95","95","57","57","56","57","57","57","0","S","SSE","0.0","2","SSE","58","58","59","--","59","59","59","58","56","56","56","0.00","0.00","6","7","0.12","0","0","0.0","0.072","0.000"
"12/19/23 8:00 AM","57","57","56","91","91","90","54","55","57","57","29.80","29.81","29.80","29.75","58","58","58","94","95","94","56","57","56","57","57","57","0","S","S","0.1","2","SE","58","58","59","0.00","59","59","59","58","56","56","56","0.00","0.00","5","7","0.11","0","0","0.0","0.071","0.000"
"12/19/23 8:15 AM","57","57","56","91","91","90","54","55","57","57","29.81","29.81","29.80","29.76","58","58","58","94","94","94","57","57","56","57","57","57","0","SSE","S","0.0","4","SSE","58","58","59","--","59","59","59","58","56","56","56","0.00","0.00","15","21","0.31","0","0","0.0","0.071","0.000"
"12/19/23 8:30 AM","57","57","56","92","92","91","54","55","57","57","29.81","29.81","29.81","29.76","58","58","58","94","94","94","56","57","56","57","57","57","0","SSW","S","0.1","3","SE","58","58","59","--","59","59","59","59","56","56","56","0.00","0.00","27","40","0.58","0","0","0.0","0.070","0.000"
"12/19/23 8:45 AM","57","57","57","92","92","92","54","55","57","57","29.81","29.81","29.81","29.76","58","59","58","93","94","93","57","57","56","58","58","57","0","SSE","SSE","0.1","2","SE","59","58","59","--","59","59","59","59","57","57","56","0.00","0.00","62","69","1.33","0","0","0.0","0.067","0.000"
"12/19/23 9:00 AM","57","57","57","93","93","92","55","56","57","57","29.81","29.82","29.81","29.76","59","59","59","93","93","93","57","57","57","58","58","58","1","S","S","0.2","6","SSE","59","59","59","0.00","59","59","59","59","57","57","57","0.00","0.00","55","69","1.19","0","0","0.0","0.064","0.000"
"12/19/23 9:15 AM","58","58","57","94","94","93","56","56","58","58","29.81","29.81","29.81","29.76","59","59","59","92","93","91","57","57","57","58","58","58","1","S","SSE","0.3","6","SSW","59","59","60","--","60","60","60","59","58","59","57","0.00","0.00","114","204","2.46","1","1","0.1","0.062","0.000"
"12/19/23 9:30 AM","58","58","58","94","94","94","57","58","59","59","29.80","29.81","29.80","29.75","60","60","59","90","92","90","57","57","57","58","58","58","2","SSE","SSE","0.5","8","SSE","60","59","60","--","60","60","60","60","59","60","58","0.00","0.00","169","232","3.64","1","1","0.1","0.057","0.000"
"12/19/23 9:45 AM","59","59","58","92","94","92","57","58","60","60","29.81","29.81","29.80","29.76","60","60","60","90","91","90","57","57","57","58","58","58","2","S","SSE","0.5","7","S","60","60","60","--","60","60","60","60","60","60","59","0.00","0.00","177","207","3.80","1","1","0.1","0.055","0.000"
"12/19/23 10:00 AM","60","60","59","92","92","92","57","58","60","60","29.81","29.81","29.81","29.76","60","60","60","89","90","88","57","58","57","58","59","58","2","SSE","SSE","0.5","9","SE","60","60","60","0.00","61","60","61","60","61","63","59","0.00","0.00","216","315","4.64","1","2","0.2","0.050","0.000"
"12/19/23 10:15 AM","60","60","60","91","92","91","57","58","60","60","29.81","29.82","29.81","29.76","60","60","60","89","89","88","57","57","57","58","58","58","1","S","S","0.3","8","SSE","60","60","61","--","61","61","61","60","59","61","59","0.00","0.00","159","188","3.42","1","1","0.1","0.049","0.000"
"12/19/23 10:30 AM","60","60","60","90","91","90","57","59","61","61","29.81","29.82","29.81","29.76","61","61","60","87","89","87","57","58","57","59","59","58","1","SSW","S","0.4","8","S","61","60","62","--","62","62","62","61","73","73","59","0.00","0.00","352","578","7.56","2","2","0.2","0.044","0.000"
"12/19/23 10:45 AM","61","61","60","89","90","89","58","59","61","61","29.81","29.81","29.81","29.76","62","62","61","84","88","84","57","58","57","59","60","59","2","SSE","SSE","0.6","9","SSE","62","61","62","--","62","62","62","61","72","73","63","0.00","0.00","395","540","8.50","2","3","0.2","0.036","0.000"
"12/19/23 11:00 AM","61","61","61","88","89","88","58","59","62","62","29.80","29.81","29.80","29.75","62","62","62","83","86","83","57","58","57","59","60","59","2","S","S","0.6","14","SSE","62","62","62","0.01","63","62","63","62","61","72","61","0.00","0.00","278","411","5.97","2","2","0.2","0.030","0.000"
"12/19/23 11:15 AM","61","61","61","88","88","88","58","59","62","62","29.80","29.80","29.80","29.75","62","62","62","83","85","82","57","58","57","59","60","59","2","SW","S","0.6","10","SE","62","62","62","--","63","62","63","62","68","71","60","0.00","0.00","403","487","8.66","2","3","0.3","0.029","0.000"
"12/19/23 11:30 AM","62","62","61","87","88","87","58","59","62","62","29.80","29.80","29.80","29.75","62","63","62","83","84","82","56","58","56","59","60","59","3","SSE","S","0.7","10","SSE","62","62","62","--","63","62","63","62","60","71","60","0.00","0.00","337","492","7.25","2","3","0.2","0.028","0.000"
"12/19/23 11:45 AM","62","62","62","87","87","87","58","59","62","62","29.79","29.80","29.79","29.74","62","62","62","83","85","83","57","58","56","59","59","58","2","S","S","0.5","9","SSW","62","62","62","--","62","62","62","62","72","72","60","0.00","0.00","335","547","7.21","2","3","0.2","0.034","0.000"
"12/19/23 12:00 PM","62","62","62","86","87","86","58","59","62","62","29.79","29.79","29.79","29.74","62","62","62","84","85","83","57","58","57","59","60","59","2","S","SSE","0.5","8","SSE","62","62","62","0.01","63","62","63","62","61","72","61","0.00","0.00","337","490","7.25","2","3","0.2","0.029","0.000"
"12/19/23 12:15 PM","62","62","62","86","86","86","58","59","62","62","29.79","29.79","29.79","29.74","61","62","60","89","89","83","57","57","56","58","59","58","2","SSE","S","0.6","10","SSW","60","60","60","--","62","60","62","60","58","61","58","0.00","0.00","114","146","2.45","1","1","0.1","0.042","0.000"
"12/19/23 12:30 PM","62","62","62","86","86","86","58","59","62","62","29.78","29.79","29.78","29.73","60","60","59","91","92","89","57","57","57","58","58","58","1","SE","SSE","0.3","7","SE","60","59","60","--","60","60","60","60","58","59","58","0.00","0.00","155","185","3.33","1","1","0.1","0.056","0.000"
"12/19/23 12:45 PM","62","62","62","86","86","86","58","59","62","62","29.78","29.78","29.78","29.73","60","60","60","90","92","90","58","58","57","59","59","58","1","SSE","S","0.4","6","SSE","60","60","61","--","61","61","61","60","59","61","58","0.00","0.00","207","290","4.46","1","2","0.2","0.051","0.000"
"12/19/23 1:00 PM","62","62","62","85","86","85","58","60","63","63","29.77","29.78","29.77","29.73","61","61","60","89","91","87","58","58","57","59","59","59","2","SSW","S","0.5","8","SSW","61","60","62","0.00","62","62","62","61","61","73","59","0.00","0.00","296","599","6.36","2","3","0.2","0.042","0.000"
"12/19/23 1:15 PM","62","62","62","85","86","85","58","60","63","63","29.76","29.77","29.76","29.72","61","61","61","84","89","84","56","58","56","58","59","58","3","S","S","0.7","9","SSE","61","61","61","--","62","61","62","61","61","61","60","0.00","0.00","209","239","4.49","2","2","0.2","0.040","0.000"
"12/19/23 1:30 PM","63","63","62","85","85","85","58","60","63","63","29.77","29.77","29.76","29.72","62","62","61","83","86","83","57","58","57","59","59","58","3","SSW","SSW","0.7","8","SE","62","61","62","--","62","62","62","61","61","65","61","0.00","0.00","221","385","4.74","2","2","0.2","0.034","0.000"
"12/19/23 1:45 PM","63","63","63","84","85","84","58","60","63","63","29.76","29.77","29.76","29.71","62","63","62","81","85","81","57","58","57","59","60","59","2","SSW","SSW","0.6","8","ESE","63","62","63","--","63","63","63","62","66","66","61","0.00","0.00","226","350","4.85","2","2","0.2","0.027","0.000"
